Latitude,Longitude,Severity,Image_URL
23.028263475010423,72.572628144003,100,file:///C:\Users\abhis\Downloads\Potholes_Dataset\Pothole_Segmentation_YOLOv8\train\images\pic-1-_jpg.rf.49882cdb272111f43a6656b1494a4918.jpg
23.02625704231819,72.57151184036746,100,file:///C:\Users\abhis\Downloads\Potholes_Dataset\Pothole_Segmentation_YOLOv8\train\images\pic-1-_jpg.rf.8d95dd1d29760a2634a45cc7fdd84b31.jpg
23.027329277715786,72.57646293394599,100,file:///C:\Users\abhis\Downloads\Potholes_Dataset\Pothole_Segmentation_YOLOv8\train\images\pic-1-_jpg.rf.e238c9bf3fe82e8ac55b0014a27fc529.jpg
23.02878166572613,72.57456916980189,100,file:///C:\Users\abhis\Downloads\Potholes_Dataset\Pothole_Segmentation_YOLOv8\train\images\pic-10-_jpg.rf.1d433d21e11d000b6b498eacb88fe4a9.jpg
23.02851321196221,72.57937117730006,100,file:///C:\Users\abhis\Downloads\Potholes_Dataset\Pothole_Segmentation_YOLOv8\train\images\pic-10-_jpg.rf.500c683a687e403f4cdade4826a84b5b.jpg
23.02588161560098,72.57436774875634,100,file:///C:\Users\abhis\Downloads\Potholes_Dataset\Pothole_Segmentation_YOLOv8\train\images\pic-10-_jpg.rf.5a901c212d899a7dc7dc78be7de892c0.jpg
23.0287590681758,72.57565446788752,100,file:///C:\Users\abhis\Downloads\Potholes_Dataset\Pothole_Segmentation_YOLOv8\train\images\pic-100-_jpg.rf.17047bb032a49c96643c5f2108bb99dd.jpg
23.025098693806548,72.57844618681467,100,file:///C:\Users\abhis\Downloads\Potholes_Dataset\Pothole_Segmentation_YOLOv8\train\images\pic-100-_jpg.rf.8c9076ee84698f90f04765f4e794a819.jpg
23.02605334110325,72.57433255532635,93,file:///C:\Users\abhis\Downloads\Potholes_Dataset\Pothole_Segmentation_YOLOv8\train\images\pic-100-_jpg.rf.ebc3af260e989e6f9e1e9221b9dff6b0.jpg
23.02944588400446,72.57713555295446,100,file:///C:\Users\abhis\Downloads\Potholes_Dataset\Pothole_Segmentation_YOLOv8\train\images\pic-101-_jpg.rf.1e32a49f89a38974ded11bba8dd3e56b.jpg
23.02950242039332,72.57928357582902,100,file:///C:\Users\abhis\Downloads\Potholes_Dataset\Pothole_Segmentation_YOLOv8\train\images\pic-101-_jpg.rf.4abe48a3d2a5e556908bf4286446e5ce.jpg
23.02553897497116,72.57169021767064,100,file:///C:\Users\abhis\Downloads\Potholes_Dataset\Pothole_Segmentation_YOLOv8\train\images\pic-101-_jpg.rf.8380b58f6540ec91db66934b342f7f9e.jpg
23.029060717849593,72.57303444726895,100,file:///C:\Users\abhis\Downloads\Potholes_Dataset\Pothole_Segmentation_YOLOv8\train\images\pic-102-_jpg.rf.bb6db5bdb59d1a6af15b0a0b565a3cdb.jpg
23.027825754221354,72.57999401582082,83,file:///C:\Users\abhis\Downloads\Potholes_Dataset\Pothole_Segmentation_YOLOv8\train\images\pic-102-_jpg.rf.cd0b0b3a64e3a11005884c98c1f6c3aa.jpg
23.028752948020433,72.57179893912536,89,file:///C:\Users\abhis\Downloads\Potholes_Dataset\Pothole_Segmentation_YOLOv8\train\images\pic-102-_jpg.rf.df35bf045672f19a05f84a8c365dab3a.jpg
23.02739216756628,72.57606240704291,100,file:///C:\Users\abhis\Downloads\Potholes_Dataset\Pothole_Segmentation_YOLOv8\train\images\pic-103-_jpg.rf.26017e20e92320bcde575710389353b1.jpg
